,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
,60%,,100%,100%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,5 matches,,1 matches,1 matches,2 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Azorius Cauldron,1% - 72%,0% - 98%,--,--,2% - 100%,0% - 84%,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71
,20%,0%,,,100%,0%,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,20
,5 matches,1 matches,,,1 matches,2 matches,,,,,,1 matches,,,,,,,,,,,,,,,,,,,,,,5
Mono Green Stompy,1% - 81%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,80
,25%,0%,,,,,,,,,,,,,,,,,0%,,,0%,,,,,,,,,,,,25
,4 matches,1 matches,,,,,,,,,,,,,,,,,1 matches,,,1 matches,,,,,,,,,,,,4
Azorius Midrange,7% - 93%,--,--,--,0% - 98%,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,86
,50%,,,,0%,,100%,,,,,,,,,,,100%,,0%,,,,,,,,,,,,,,50
,4 matches,,,,1 matches,,1 matches,,,,,,,,,,,1 matches,,1 matches,,,,,,,,,,,,,,4
Orzhov Control,1% - 81%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
,25%,,0%,,,,,,,,,,,0%,,,,100%,,,,,,,,,,,,,,,,25
,4 matches,,1 matches,,,,,,,,,,,1 matches,,,,1 matches,,,,,,,,,,,,,,,,4
Jeskai Fires,1% - 81%,0% - 84%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,80
,25%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,25
,4 matches,2 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 matches,4
Boros Midrange,19% - 99%,--,--,--,2% - 100%,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,80
,75%,,,,100%,,,100%,,,,,,,,,,,,,100%,,,,,,,,,,,,,75
,4 matches,,,,1 matches,,,1 matches,,,,,,,,,,,,,1 matches,,,,,,,,,,,,,4
5 Color Yorion,40% - 100%,--,--,--,--,2% - 100%,--,--,--,--,--,2% - 100%,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60
,100%,,,,,100%,,,,,,100%,,,,,100%,,,,,,,,,,,,,,,,,100
,4 matches,,,,,1 matches,,,,,,1 matches,,,,,1 matches,,,,,,,,,,,,,,,,,4
Bant Blink,1% - 81%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,0% - 98%,--,--,80
,25%,100%,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,0%,,,25
,4 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,1 matches,,,,,,,1 matches,,,4
4 Color Legends,1% - 81%,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,80
,25%,,50%,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,25
,4 matches,,2 matches,,,,,,,,,,,,,,,,,,,,,1 matches,,,,,,,,,,4
Dimir Faeries,7% - 93%,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,2% - 100%,--,--,--,--,--,--,86
,50%,,,,,,0%,,,,,,,,,,,,,,,,,100%,,,100%,,,,,,,50
,4 matches,,,,,,1 matches,,,,,,,,,,,,,,,,,1 matches,,,1 matches,,,,,,,4
Orzhov Reanimator,19% - 99%,2% - 100%,--,0% - 98%,--,2% - 100%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
,75%,100%,,0%,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,75
,4 matches,1 matches,,1 matches,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Selesnya Kona,7% - 93%,0% - 98%,--,--,--,0% - 98%,--,2% - 100%,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86
,50%,0%,,,,0%,,100%,,,,,,,100%,,,,,,,,,,,,,,,,,,,50
,4 matches,1 matches,,,,1 matches,,1 matches,,,,,,,1 matches,,,,,,,,,,,,,,,,,,,4
Azorius Flyers,1% - 91%,0% - 98%,--,--,--,--,--,--,--,0% - 98%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90
,33%,0%,,,,,,,,0%,100%,,,,,,,,,,,,,,,,,,,,,,,33
,3 matches,1 matches,,,,,,,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,3
Orzhov Yorion,1% - 91%,0% - 98%,--,--,--,--,--,--,--,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90
,33%,0%,,,,,,,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,33
,3 matches,1 matches,,,,,,,,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,3
Bant Control,1% - 91%,1% - 99%,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90
,33%,50%,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,33
,3 matches,2 matches,,,,,,,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,3
Orzhov Waste Not,1% - 91%,--,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90
,33%,,100%,,0%,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,33
,3 matches,,1 matches,,1 matches,,,,,,,,,1 matches,,,,,,,,,,,,,,,,,,,,3
Azorius Helix,9% - 99%,0% - 98%,--,--,--,--,--,--,--,--,--,--,2% - 100%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90
,67%,0%,,,,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,67
,3 matches,1 matches,,,,,,,,,,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,3
Mardu Midrange,1% - 99%,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98
,50%,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
,2 matches,,,,,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Rakdos Madness,1% - 99%,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,98
,50%,,,100%,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,50
,2 matches,,,1 matches,,,,,,,,,,,,,,,,,,,,1 matches,,,,,,,,,,2
Esper Humans,16% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84
,100%,,,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,,,,,,100
,2 matches,,,,,,,,,,,,,1 matches,,,,1 matches,,,,,,,,,,,,,,,,2
Golgari Deathtouch,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,98
,50%,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,50
,2 matches,,,,,,,,,,,,,,,,,,,,,1 matches,,,,,,,,,,,,2
